XCoord,YCoord,FID,ADDRESS,HERITAGE_D,BUILDING_N
-83.01801358,42.32437028,528,257-61 Lincoln Rd,Heritage Register: Listed,Jones-Miller House
-83.01808699,42.32447608,529,247 Lincoln Rd,Heritage Register: Listed,J.A. Gardner House
-82.97742142,42.32314601,530,971 Lawrence Rd,Heritage Register: Listed,House
-82.97729852,42.32392988,531,928 Lawrence Rd,Heritage Register: Listed,House
-83.02492090,42.32210295,532,247 Langlois Ave,Heritage Register: Listed,House
-83.02428463,42.32246836,533,226 Langlois Ave,Heritage Register: Listed,House
-82.99911501,42.30028336,534,2195 Kildare Rd,Heritage Register: Listed,House
-83.00693828,42.31353226,535,1240 Kildare Rd,Heritage Register: Listed,Semi-Detached House
-83.00698241,42.31360149,536,1236 Kildare Rd,Heritage Register: Listed,Semi-Detached House
-83.00709518,42.31378653,537,1228 Kildare Rd,Heritage Register: Listed,Semi-Detached House
-83.00716775,42.31389068,538,1224 Kildare Rd,Heritage Register: Listed,Semi-Detached House
-83.00720540,42.31395379,539,1220 Kildare Rd,Heritage Register: Listed,Semi-Detached House
-83.00852551,42.31491731,540,1167 Kildare Rd,Heritage Register: Listed,Chas. Isaacs House
-83.00790591,42.31512046,541,1166 Kildare Rd,Heritage Register: Listed,Cooper Court Garage House & Fence
-83.00812277,42.31545319,542,1142 Kildare Rd,Heritage Register: Designated,Dr. Freeman Brockenshire House
-83.00823301,42.31562235,543,1128 Kildare Rd,Heritage Register: Listed,A.J.M. Bowman House
-83.01133098,42.31958030,544,873 Kildare Rd,Heritage Register: Listed,Ridout-Parsons House (Bank of Commerce Mgrs.)
-83.01145405,42.31979540,545,863 Kildare Rd,Heritage Register: Listed,Grant-Peterson House
-83.01158078,42.31998120,546,849 Kildare Rd,Heritage Register: Designated,Victor Williamson House "The Cobbles"
-83.01183701,42.32008845,547,841 Kildare Rd,Heritage Register: Designated,Miers-Fraser House
-83.01193486,42.32022395,548,833 Kildare Rd,Heritage Register: Listed,Francis Allum House
-83.01203759,42.32035271,549,825 Kildare Rd,Heritage Register: Listed,Wm. Woollatt House
-83.01234654,42.32084006,550,797-99 Kildare Rd,Heritage Register: Listed,Robt. H. Revell House
-83.01172071,42.32108118,551,796 Kildare Rd,Heritage Register: Listed,Wm. H. Smith House
-83.01180004,42.32120798,552,776 Kildare Rd,Heritage Register: Listed,Edward F. Ladore House
-83.01187712,42.32132640,553,760 Kildare Rd,Heritage Register: Listed,John E. Doane House
-83.01196413,42.32145168,554,734 Kildare Rd,Heritage Register: Listed,Warren Seagrave House
-83.01263732,42.32128829,555,727 Kildare Rd,Heritage Register: Listed,Norman B. Vrooman House
-83.01206798,42.32161560,556,712 Kildare Rd,Heritage Register: Listed,Daniel McKillop House
-83.01288683,42.32170957,557,691-95 Kildare Rd,Heritage Register: Listed,Sidney C. Robinson House
-83.01294484,42.32181039,558,679 Kildare Rd,Heritage Register: Listed,Semi-Detached House C.H. Gauthier
-83.01298463,42.32186717,559,677 Kildare Rd,Heritage Register: Listed,Semi-Detached House Ida Stewart
-83.01304580,42.32195490,560,665 Kildare Rd,Heritage Register: Listed,Alex Douglas House
-83.01311364,42.32205136,561,651 Kildare Rd,Heritage Register: Listed,Semi-Detached House S.E. McGorman
-83.01315896,42.32211601,562,649 Kildare Rd,Heritage Register: Listed,Semi-Detached House C.G. Hallowell
-83.01320434,42.32220133,563,637 Kildare Rd,Heritage Register: Listed,Geo. M. Gubb House
-83.01327067,42.32229709,564,623 Kildare Rd,Heritage Register: Listed,Semi-Detached House H.D. Drake
-83.01330099,42.32235514,565,621 Kildare Rd,Heritage Register: Listed,Semi-Detached House Wm. R. Woollatt
-83.01373399,42.32298226,566,549 Kildare Rd,Heritage Register: Listed,L. Kendall House
-83.01379994,42.32310604,567,537 Kildare Rd,Heritage Register: Designated,DeGurse-McEwen House
-83.01311316,42.32326277,568,536 Kildare Rd,Heritage Register: Designated,Quad-plex Walter F. Cole
-83.01316058,42.32332800,569,534 Kildare Rd,Heritage Register: Designated,Quad-plex Edwin Chater
-83.01319712,42.32338941,570,516 Kildare Rd,Heritage Register: Listed,Quad-plex Thos. K. Niven
-83.01325233,42.32346183,571,510 Kildare Rd,Heritage Register: Listed,Quad-plex Thos. K. Hall
-83.01387326,42.32322871,572,509 Kildare Rd,Heritage Register: Listed,Harry Morris House
-83.01405311,42.32351786,573,487 Kildare Rd,Heritage Register: Listed,Walter Chater House (Mayor)
-83.01341174,42.32374647,574,484 Kildare Rd,Heritage Register: Listed,Andrew Reid House
-83.01419662,42.32376772,575,447 Kildare Rd,Heritage Register: Listed,William C. White House (Mayor)
-83.01413425,42.32364183,576,477 Kildare Rd,Heritage Register: Listed,E. Stewart House
-83.01350243,42.32387023,577,468 Kildare Rd,Heritage Register: Listed,Jos. Graveline House
-83.01428184,42.32388187,578,423 Kildare Rd,Heritage Register: Listed,J.E. Dobie House (Mayor)
-83.01361526,42.32400719,579,420 Kildare Rd,Heritage Register: Designated,Walkerville Garage
-82.96453789,42.32971242,580,283 Jefferson Blvd,Heritage Register: Listed,M.G. Brick House
-82.96518924,42.33054234,581,249 Jefferson Blvd,Heritage Register: Listed,Harold C. Beckett House
-82.96450107,42.33124434,582,234 Jefferson Blvd,Heritage Register: Listed,L. Butcher House
-82.96459605,42.33138438,583,226 Jefferson Blvd,Heritage Register: Listed,Matilda & Catherine Cotter House
-82.96553222,42.33126520,584,219 Jefferson Blvd,Heritage Register: Listed,House
-83.04363475,42.31266057,585,548 Janette Ave,Heritage Register: Listed,House
-83.01434598,42.29745635,586,647 Irvine Ave,Heritage Register: Listed,Ste. Genevieve School
-83.06924575,42.30615503,587,400 Huron Church Rd,Heritage Register: Listed,Assumption College - Hall (#3) & Chapel
-82.99531863,42.25544833,588,3954 Howard Ave,Heritage Register: Listed,Morand Family Farm House
-83.01898519,42.29873391,589,1687 Highland Ave,Heritage Register: Listed,House
-83.02062362,42.32358537,590,248-50 Hall Ave,Heritage Register: Listed,Duplex
-83.03062386,42.30714722,591,1149 Goyeau St,Heritage Register: Listed,Bell Canada
-82.96494523,42.32764179,592,881 Glidden Ave,Heritage Register: Listed,Riverside United Church
-83.03397327,42.30461000,593,274 Giles Blvd W,Heritage Register: Listed,Granada Apartments
-83.03253093,42.30519353,594,114 Giles Blvd W,Heritage Register: Listed,Christian Science Church
-83.01744814,42.31014797,595,949 Giles Blvd E,Heritage Register: Listed,Prince Edward School
-83.02019049,42.31130812,596,874 Giles Blvd E,Heritage Register: Listed,W.D. Lowe High School
-83.02888536,42.30591961,597,115 Giles Blvd E,Heritage Register: Listed,Synagogue Shaar Hashomayim
-82.97550393,42.31491006,598,1648 Francois Rd,Heritage Register: Listed,David Maxwell School
-82.97265700,42.32846232,599,282 Ford Blvd,Heritage Register: Listed,House
-82.97295365,42.32893255,600,266 Ford Blvd,Heritage Register: Listed,House
-82.97457723,42.33003419,601,221 Ford Blvd,Heritage Register: Listed,House
-83.04174833,42.31816795,602,167-81 Ferry St,Heritage Register: Designated,Windsor Star
-82.95093639,42.33499027,603,246 Fairview Blvd,Heritage Register: Listed,House
-82.96568052,42.32842713,604,840 Esdras Ave,Heritage Register: Listed,Riverside Presbyterian Church
-82.96656032,42.32846157,605,827 Esdras Ave,Heritage Register: Designated,Esdras Parent House
-83.03598222,42.30843567,606,212-48 Erie St W,Heritage Register: Listed,Commercial
-83.02855718,42.30257274,607,16-30 Ellis St E / 1398 Ouellette Ave,Heritage Register: Listed,Royal Apartments
-83.03635395,42.31113605,608,131 Elliott St W,Heritage Register: Listed,A.E. Bowman House
-82.94610441,42.33111823,609,868 Eastlawn Ave,Heritage Register: Listed,House
-82.94620415,42.33126584,610,862 Eastlawn Ave,Heritage Register: Listed,House
