Ward,Poll,Poll Name,Contest Title,Candidate Name,Total
3,1,3-1 Windsor International Aquatics Training Centre,MAYOR,Ernie LAMONT,7
3,1,3-1 Windsor International Aquatics Training Centre,MAYOR,Franz (Frank) DYCK,6
3,1,3-1 Windsor International Aquatics Training Centre,MAYOR,Matt MARCHAND,148
3,1,3-1 Windsor International Aquatics Training Centre,MAYOR,Tom HENSEL,5
3,2,3-2 Throne of Grace Church,MAYOR,Drew DILKENS,168
3,2,3-2 Throne of Grace Church,MAYOR,Ernie LAMONT,14
3,2,3-2 Throne of Grace Church,MAYOR,Franz (Frank) DYCK,8
3,2,3-2 Throne of Grace Church,MAYOR,Matt MARCHAND,180
3,2,3-2 Throne of Grace Church,MAYOR,Tom HENSEL,10
3,3,3-3 Windsor Water World,MAYOR,Drew DILKENS,162
3,3,3-3 Windsor Water World,MAYOR,Ernie LAMONT,8
3,3,3-3 Windsor Water World,MAYOR,Franz (Frank) DYCK,6
3,3,3-3 Windsor Water World,MAYOR,Matt MARCHAND,117
3,3,3-3 Windsor Water World,MAYOR,Tom HENSEL,6
3,4,3-4 Loyal Order of Moose Lodge No. 1499,MAYOR,Drew DILKENS,138
3,4,3-4 Loyal Order of Moose Lodge No. 1499,MAYOR,Ernie LAMONT,5
3,4,3-4 Loyal Order of Moose Lodge No. 1499,MAYOR,Franz (Frank) DYCK,2
3,4,3-4 Loyal Order of Moose Lodge No. 1499,MAYOR,Matt MARCHAND,115
3,4,3-4 Loyal Order of Moose Lodge No. 1499,MAYOR,Tom HENSEL,6
3,5,3-5 Dougall Avenue Public School,MAYOR,Drew DILKENS,201
3,5,3-5 Dougall Avenue Public School,MAYOR,Ernie LAMONT,16
3,5,3-5 Dougall Avenue Public School,MAYOR,Franz (Frank) DYCK,3
3,5,3-5 Dougall Avenue Public School,MAYOR,Matt MARCHAND,299
3,5,3-5 Dougall Avenue Public School,MAYOR,Tom HENSEL,7
3,6,3-6 New Life Fellowship Church,MAYOR,Drew DILKENS,102
3,6,3-6 New Life Fellowship Church,MAYOR,Ernie LAMONT,10
3,6,3-6 New Life Fellowship Church,MAYOR,Franz (Frank) DYCK,7
3,6,3-6 New Life Fellowship Church,MAYOR,Matt MARCHAND,87
3,6,3-6 New Life Fellowship Church,MAYOR,Tom HENSEL,8
3,7,3-7 City of Windsor - Environment and Public Works Operation,MAYOR,Drew DILKENS,128
3,7,3-7 City of Windsor - Environment and Public Works Operation,MAYOR,Ernie LAMONT,4
3,7,3-7 City of Windsor - Environment and Public Works Operation,MAYOR,Franz (Frank) DYCK,3
3,7,3-7 City of Windsor - Environment and Public Works Operation,MAYOR,Matt MARCHAND,105
3,7,3-7 City of Windsor - Environment and Public Works Operation,MAYOR,Tom HENSEL,4
3,8,3-8 Brentwood Recovery Home - Fr. Paul Charbonneau Centre,MAYOR,Drew DILKENS,293
3,8,3-8 Brentwood Recovery Home - Fr. Paul Charbonneau Centre,MAYOR,Ernie LAMONT,9
3,8,3-8 Brentwood Recovery Home - Fr. Paul Charbonneau Centre,MAYOR,Franz (Frank) DYCK,7
3,8,3-8 Brentwood Recovery Home - Fr. Paul Charbonneau Centre,MAYOR,Matt MARCHAND,254
3,8,3-8 Brentwood Recovery Home - Fr. Paul Charbonneau Centre,MAYOR,Tom HENSEL,9
3,9,3-9 Devonshire Seniors' Residence,MAYOR,Drew DILKENS,63
3,9,3-9 Devonshire Seniors' Residence,MAYOR,Ernie LAMONT,5
3,9,3-9 Devonshire Seniors' Residence,MAYOR,Franz (Frank) DYCK,3
3,9,3-9 Devonshire Seniors' Residence,MAYOR,Matt MARCHAND,13
3,9,3-9 Devonshire Seniors' Residence,MAYOR,Tom HENSEL,5
3,10,3-10 Bruce Villa,MAYOR,Drew DILKENS,4
3,10,3-10 Bruce Villa,MAYOR,Ernie LAMONT,1
3,10,3-10 Bruce Villa,MAYOR,Franz (Frank) DYCK,4
3,10,3-10 Bruce Villa,MAYOR,Matt MARCHAND,13
3,10,3-10 Bruce Villa,MAYOR,Tom HENSEL,3
3,11,3-11 Berkshire Care Centre,MAYOR,Drew DILKENS,21
3,11,3-11 Berkshire Care Centre,MAYOR,Ernie LAMONT,3
3,11,3-11 Berkshire Care Centre,MAYOR,Franz (Frank) DYCK,3
3,11,3-11 Berkshire Care Centre,MAYOR,Matt MARCHAND,21
3,11,3-11 Berkshire Care Centre,MAYOR,Tom HENSEL,6
3,12,3-12 Regency Park Long Term Care Home,MAYOR,Drew DILKENS,17
3,12,3-12 Regency Park Long Term Care Home,MAYOR,Ernie LAMONT,2
3,12,3-12 Regency Park Long Term Care Home,MAYOR,Franz (Frank) DYCK,0
3,12,3-12 Regency Park Long Term Care Home,MAYOR,Matt MARCHAND,4
3,12,3-12 Regency Park Long Term Care Home,MAYOR,Tom HENSEL,0
3,13,3-13 Victoria Manor Retirement Home,MAYOR,Drew DILKENS,20
3,13,3-13 Victoria Manor Retirement Home,MAYOR,Ernie LAMONT,5
3,13,3-13 Victoria Manor Retirement Home,MAYOR,Franz (Frank) DYCK,2
3,13,3-13 Victoria Manor Retirement Home,MAYOR,Matt MARCHAND,19
3,13,3-13 Victoria Manor Retirement Home,MAYOR,Tom HENSEL,5
3,14,3-14 Iris House,MAYOR,Drew DILKENS,10
3,14,3-14 Iris House,MAYOR,Ernie LAMONT,1
3,14,3-14 Iris House,MAYOR,Franz (Frank) DYCK,2
3,14,3-14 Iris House,MAYOR,Matt MARCHAND,8
3,14,3-14 Iris House,MAYOR,Tom HENSEL,2
3,15,3-15 Raymond Desmarais Manor,MAYOR,Drew DILKENS,54
3,15,3-15 Raymond Desmarais Manor,MAYOR,Ernie LAMONT,21
3,15,3-15 Raymond Desmarais Manor,MAYOR,Franz (Frank) DYCK,6
3,15,3-15 Raymond Desmarais Manor,MAYOR,Matt MARCHAND,39
3,15,3-15 Raymond Desmarais Manor,MAYOR,Tom HENSEL,13
3,16,3-16 Ouellette Manor,MAYOR,Drew DILKENS,50
3,16,3-16 Ouellette Manor,MAYOR,Ernie LAMONT,9
3,16,3-16 Ouellette Manor,MAYOR,Franz (Frank) DYCK,10
3,16,3-16 Ouellette Manor,MAYOR,Matt MARCHAND,25
3,16,3-16 Ouellette Manor,MAYOR,Tom HENSEL,9
4,1,4-1 F.W. Begley Public School,MAYOR,Drew DILKENS,156
4,1,4-1 F.W. Begley Public School,MAYOR,Ernie LAMONT,8
4,1,4-1 F.W. Begley Public School,MAYOR,Franz (Frank) DYCK,4
4,1,4-1 F.W. Begley Public School,MAYOR,Matt MARCHAND,274
4,1,4-1 F.W. Begley Public School,MAYOR,Tom HENSEL,8
4,2,4-2 St. Angela Merici Church Hall,MAYOR,Drew DILKENS,132
4,2,4-2 St. Angela Merici Church Hall,MAYOR,Ernie LAMONT,9
4,2,4-2 St. Angela Merici Church Hall,MAYOR,Franz (Frank) DYCK,8
4,2,4-2 St. Angela Merici Church Hall,MAYOR,Matt MARCHAND,150
4,2,4-2 St. Angela Merici Church Hall,MAYOR,Tom HENSEL,5
4,3,4-3 Willistead Manor Coach House,MAYOR,Drew DILKENS,294
4,3,4-3 Willistead Manor Coach House,MAYOR,Ernie LAMONT,11
4,3,4-3 Willistead Manor Coach House,MAYOR,Franz (Frank) DYCK,5
4,3,4-3 Willistead Manor Coach House,MAYOR,Matt MARCHAND,413
4,3,4-3 Willistead Manor Coach House,MAYOR,Tom HENSEL,2
4,4,4-4 Holy Trinity Parish,MAYOR,Drew DILKENS,301
4,4,4-4 Holy Trinity Parish,MAYOR,Ernie LAMONT,14
4,4,4-4 Holy Trinity Parish,MAYOR,Franz (Frank) DYCK,14
4,4,4-4 Holy Trinity Parish,MAYOR,Matt MARCHAND,236
4,4,4-4 Holy Trinity Parish,MAYOR,Tom HENSEL,6
4,5,4-5 St. Anne’s French Immersion School,MAYOR,Drew DILKENS,308
4,5,4-5 St. Anne’s French Immersion School,MAYOR,Ernie LAMONT,5
4,5,4-5 St. Anne’s French Immersion School,MAYOR,Franz (Frank) DYCK,4
4,5,4-5 St. Anne’s French Immersion School,MAYOR,Matt MARCHAND,392
4,5,4-5 St. Anne’s French Immersion School,MAYOR,Tom HENSEL,3
4,6,4-6 Hungarian Cultural Centre,MAYOR,Drew DILKENS,250
4,6,4-6 Hungarian Cultural Centre,MAYOR,Ernie LAMONT,8
4,6,4-6 Hungarian Cultural Centre,MAYOR,Franz (Frank) DYCK,11
4,6,4-6 Hungarian Cultural Centre,MAYOR,Matt MARCHAND,194
4,6,4-6 Hungarian Cultural Centre,MAYOR,Tom HENSEL,8
4,7,4-7 Scottish Club of Windsor,MAYOR,Drew DILKENS,284
4,7,4-7 Scottish Club of Windsor,MAYOR,Ernie LAMONT,14
4,7,4-7 Scottish Club of Windsor,MAYOR,Franz (Frank) DYCK,6
4,7,4-7 Scottish Club of Windsor,MAYOR,Matt MARCHAND,287
4,7,4-7 Scottish Club of Windsor,MAYOR,Tom HENSEL,10
4,8,4-8 Optimist Community Centre,MAYOR,Drew DILKENS,766
4,8,4-8 Optimist Community Centre,MAYOR,Ernie LAMONT,16
4,8,4-8 Optimist Community Centre,MAYOR,Franz (Frank) DYCK,9
4,8,4-8 Optimist Community Centre,MAYOR,Matt MARCHAND,546
4,8,4-8 Optimist Community Centre,MAYOR,Tom HENSEL,10
4,9,4-9 Devonshire Lodging Home,MAYOR,Drew DILKENS,13
4,9,4-9 Devonshire Lodging Home,MAYOR,Ernie LAMONT,1
4,9,4-9 Devonshire Lodging Home,MAYOR,Franz (Frank) DYCK,2
4,9,4-9 Devonshire Lodging Home,MAYOR,Matt MARCHAND,6
4,9,4-9 Devonshire Lodging Home,MAYOR,Tom HENSEL,2
4,10,4-10 Willistead Inn,MAYOR,Drew DILKENS,8
4,10,4-10 Willistead Inn,MAYOR,Ernie LAMONT,1
4,10,4-10 Willistead Inn,MAYOR,Franz (Frank) DYCK,1
4,10,4-10 Willistead Inn,MAYOR,Matt MARCHAND,2
4,10,4-10 Willistead Inn,MAYOR,Tom HENSEL,5
4,11,4-11 Marentette Rest Home,MAYOR,Drew DILKENS,4
4,11,4-11 Marentette Rest Home,MAYOR,Ernie LAMONT,2
4,11,4-11 Marentette Rest Home,MAYOR,Franz (Frank) DYCK,16
4,11,4-11 Marentette Rest Home,MAYOR,Matt MARCHAND,5
4,11,4-11 Marentette Rest Home,MAYOR,Tom HENSEL,0
4,12,4-12 Dolce Vita Retirement Living,MAYOR,Drew DILKENS,5
4,12,4-12 Dolce Vita Retirement Living,MAYOR,Ernie LAMONT,4
4,12,4-12 Dolce Vita Retirement Living,MAYOR,Franz (Frank) DYCK,1
4,12,4-12 Dolce Vita Retirement Living,MAYOR,Matt MARCHAND,2
4,12,4-12 Dolce Vita Retirement Living,MAYOR,Tom HENSEL,0
5,1,5-1 Gino and Liz Marcus Community Complex,MAYOR,Drew DILKENS,113
5,1,5-1 Gino and Liz Marcus Community Complex,MAYOR,Ernie LAMONT,4
5,1,5-1 Gino and Liz Marcus Community Complex,MAYOR,Franz (Frank) DYCK,3
5,1,5-1 Gino and Liz Marcus Community Complex,MAYOR,Matt MARCHAND,121
5,1,5-1 Gino and Liz Marcus Community Complex,MAYOR,Tom HENSEL,3
5,2,5-2 Lions Manor,MAYOR,Drew DILKENS,464
5,2,5-2 Lions Manor,MAYOR,Ernie LAMONT,9
5,2,5-2 Lions Manor,MAYOR,Franz (Frank) DYCK,13
5,2,5-2 Lions Manor,MAYOR,Matt MARCHAND,253
5,2,5-2 Lions Manor,MAYOR,Tom HENSEL,14
5,3,5-3 Seminole Public Library,MAYOR,Drew DILKENS,271
5,3,5-3 Seminole Public Library,MAYOR,Ernie LAMONT,11
5,3,5-3 Seminole Public Library,MAYOR,Franz (Frank) DYCK,8
5,3,5-3 Seminole Public Library,MAYOR,Matt MARCHAND,171
5,3,5-3 Seminole Public Library,MAYOR,Tom HENSEL,9
5,4,5-4 Most Precious Blood Parish,MAYOR,Drew DILKENS,322
5,4,5-4 Most Precious Blood Parish,MAYOR,Ernie LAMONT,24
5,4,5-4 Most Precious Blood Parish,MAYOR,Franz (Frank) DYCK,4
5,4,5-4 Most Precious Blood Parish,MAYOR,Matt MARCHAND,227
5,4,5-4 Most Precious Blood Parish,MAYOR,Tom HENSEL,0
5,5,5-5 Constable John Atkinson Memorial Community Centre,MAYOR,Drew DILKENS,471
5,5,5-5 Constable John Atkinson Memorial Community Centre,MAYOR,Ernie LAMONT,20
5,5,5-5 Constable John Atkinson Memorial Community Centre,MAYOR,Franz (Frank) DYCK,11
5,5,5-5 Constable John Atkinson Memorial Community Centre,MAYOR,Matt MARCHAND,332
5,5,5-5 Constable John Atkinson Memorial Community Centre,MAYOR,Tom HENSEL,10
5,6,5-6 St. Jerome Parish,MAYOR,Drew DILKENS,300
5,6,5-6 St. Jerome Parish,MAYOR,Ernie LAMONT,17
5,6,5-6 St. Jerome Parish,MAYOR,Franz (Frank) DYCK,4
5,6,5-6 St. Jerome Parish,MAYOR,Matt MARCHAND,201
5,6,5-6 St. Jerome Parish,MAYOR,Tom HENSEL,10
5,7,5-7 Parkwood Gospel Temple,MAYOR,Drew DILKENS,272
5,7,5-7 Parkwood Gospel Temple,MAYOR,Ernie LAMONT,16
5,7,5-7 Parkwood Gospel Temple,MAYOR,Franz (Frank) DYCK,6
5,7,5-7 Parkwood Gospel Temple,MAYOR,Matt MARCHAND,203
5,7,5-7 Parkwood Gospel Temple,MAYOR,Tom HENSEL,6
5,8,5-8 Lifetimes on Riverside,MAYOR,Drew DILKENS,25
5,8,5-8 Lifetimes on Riverside,MAYOR,Ernie LAMONT,3
5,8,5-8 Lifetimes on Riverside,MAYOR,Franz (Frank) DYCK,1
5,8,5-8 Lifetimes on Riverside,MAYOR,Matt MARCHAND,5
5,8,5-8 Lifetimes on Riverside,MAYOR,Tom HENSEL,2
5,9,5-9 The Shoreview at Riverside,MAYOR,Drew DILKENS,18
5,9,5-9 The Shoreview at Riverside,MAYOR,Ernie LAMONT,1
5,9,5-9 The Shoreview at Riverside,MAYOR,Franz (Frank) DYCK,1
5,9,5-9 The Shoreview at Riverside,MAYOR,Matt MARCHAND,8
5,9,5-9 The Shoreview at Riverside,MAYOR,Tom HENSEL,0
6,1,6-1 St. Augustine of Canterbury Anglican Church,MAYOR,Drew DILKENS,566
6,1,6-1 St. Augustine of Canterbury Anglican Church,MAYOR,Ernie LAMONT,12
6,1,6-1 St. Augustine of Canterbury Anglican Church,MAYOR,Franz (Frank) DYCK,11
6,1,6-1 St. Augustine of Canterbury Anglican Church,MAYOR,Matt MARCHAND,352
